,Location,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,Real Rooms
2784,"Sri Hartamas, Kuala Lumpur",630000.0,6.0,3.0,Condo,"Built-up : 3,660 sq. ft.",Fully Furnished,5
2785,"Mont Kiara, Kuala Lumpur",457800.0,6.0,2.0,Condo,"Built-up : 3,729 sq. ft.",Partly Furnished,5
2787,"Sri Hartamas, Kuala Lumpur",814800.0,6.0,3.0,Condo,"Built-up : 3,983 sq. ft.",Fully Furnished,5
2792,"Sunway SPK, Kuala Lumpur",378000.0,5.0,2.0,Terrace/Link,Land area : 22x75 sq. ft.,Fully Furnished,5
2796,"Jalan Ipoh, Kuala Lumpur",100800.0,2.0,1.0,Condo,"Built-up : 1,215 sq. ft.",Partly Furnished,3
2798,"Segambut, Kuala Lumpur",262500.0,3.0,2.0,Condo,"Built-up : 1,856 sq. ft.",Partly Furnished,4
2799,"Jalan Kuching, Kuala Lumpur",94500.0,2.0,1.0,Condo,"Built-up : 1,050 sq. ft.",Fully Furnished,3
2800,"Kepong, Kuala Lumpur",73500.0,2.0,2.0,Terrace/Link,Land area : 14x50 sq. ft.,Partly Furnished,2
2801,"KLCC, Kuala Lumpur",262500.0,1.0,1.0,Residence,Built-up : 925 sq. ft.,Fully Furnished,1
2806,"Mont Kiara, Kuala Lumpur",504000.0,6.0,3.0,Condo,"Built-up : 2,906 sq. ft.",Partly Furnished,5
2809,"Ampang, Kuala Lumpur",130200.0,2.0,1.0,Residence,Built-up : 856 sq. ft.,Partly Furnished,2
2811,"Desa Pandan, Kuala Lumpur",163800.0,2.0,2.0,Residence,"Built-up : 1,087 sq. ft.",Fully Furnished,2
2814,"Ampang, Kuala Lumpur",151200.0,2.0,2.0,Residence,Built-up : 950 sq. ft.,Partly Furnished,3
2817,"Bukit Jalil, Kuala Lumpur",945000.0,5.0,4.0,Bungalow,Land area : 7000 sq. ft.,Fully Furnished,6
2819,"Mont Kiara, Kuala Lumpur",557256.0,5.0,3.0,Condo,"Built-up : 3,317 sq. ft.",Partly Furnished,5
2822,"Mont Kiara, Kuala Lumpur",618641.1,5.0,3.0,Condo,"Built-up : 3,729 sq. ft.",Partly Furnished,6
2823,"Bukit Bintang, Kuala Lumpur",121800.0,2.0,2.0,Residence,Built-up : 535 sq. ft.,Fully Furnished,2
2824,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",134400.0,2.0,2.0,Condo,Built-up : 935 sq. ft.,Partly Furnished,4
2825,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",151200.0,2.0,2.0,Condo,"Built-up : 1,092 sq. ft.",Fully Furnished,4
2826,"Ampang, Kuala Lumpur",172200.0,3.0,4.0,Terrace/Link,Land area : 2400 sq. ft.,Partly Furnished,4
2827,"Setapak, Kuala Lumpur",105000.0,2.0,1.0,Condo,"Built-up : 1,313 sq. ft.",Partly Furnished,4
2828,"Sungai Besi, Kuala Lumpur",79590.0,2.0,1.0,Residence,Built-up : 800 sq. ft.,Fully Furnished,2
2829,"Pantai, Kuala Lumpur",137550.0,2.0,1.0,Condo,"Built-up : 1,400 sq. ft.",Fully Furnished,3
2830,"Pantai, Kuala Lumpur",84000.0,2.0,1.0,Condo,Built-up : 850 sq. ft.,Partly Furnished,3
2831,"Pantai, Kuala Lumpur",94500.0,2.0,1.0,Condo,"Built-up : 1,100 sq. ft.",Fully Furnished,3
2832,"Cheras, Kuala Lumpur",84000.0,2.0,2.0,Condo,Built-up : 825 sq. ft.,Unfurnished,2
2833,"Sentul, Kuala Lumpur",199500.0,3.0,2.0,Condo,Land area : 1569 sq. ft.,Fully Furnished,4
2834,"Sentul, Kuala Lumpur",289800.0,3.0,2.0,Condo,"Built-up : 1,707 sq. ft.",Partly Furnished,4
2836,"Bukit Jalil, Kuala Lumpur",112350.0,3.0,2.0,Condo,"Built-up : 1,003 sq. ft.",Unfurnished,3
2837,"OUG, Kuala Lumpur",123900.0,3.0,2.0,Others,"Built-up : 1,711 sq. ft.",Partly Furnished,4
2838,"Desa ParkCity, Kuala Lumpur",678300.0,6.0,4.0,Terrace/Link,"Built-up : 4,000 sq. ft.",Partly Furnished,5
2839,"Bangsar South, Kuala Lumpur",321300.0,3.0,2.0,Condo,"Built-up : 2,068 sq. ft.",Fully Furnished,4
2840,"Dutamas, Kuala Lumpur",199500.0,4.0,2.0,Condo,Land area : 1719 sq. ft.,Partly Furnished,4
2841,"KLCC, Kuala Lumpur",227850.0,2.0,1.0,Condo,Land area : 1551 sq. ft.,Fully Furnished,2
