,Location,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,Real Rooms
35207,"Ampang Hilir, Kuala Lumpur",1080030.0,4.0,2.0,Condo,"Built-up : 3,830 sq. ft.",Unfurnished,4
35209,"Kuchai Lama, Kuala Lumpur",105000.0,2.0,1.0,Residence,Built-up : 935 sq. ft.,Fully Furnished,3
35210,"Bukit Bintang, Kuala Lumpur",462000.0,2.0,1.0,Residence,"Built-up : 1,098 sq. ft.",Fully Furnished,2
35211,"Mont Kiara, Kuala Lumpur",777000.0,5.0,4.0,Condo,Land area : unknown sq. ft.,Partly Furnished,6
35212,"Mont Kiara, Kuala Lumpur",357000.0,3.0,2.0,Condo,Land area : unknown sq. ft.,Fully Furnished,4
35213,"Desa Pandan, Kuala Lumpur",273000.0,2.0,2.0,Residence,"Built-up : 1,410 sq. ft.",Partly Furnished,2
35214,"KL Sentral, Kuala Lumpur",1102500.0,4.0,1.0,Residence,"Built-up : 2,408 sq. ft.",Partly Furnished,3
35215,"Mont Kiara, Kuala Lumpur",346500.0,4.0,2.0,Condo,"Built-up : 1,668 sq. ft.",Partly Furnished,4
35216,"KLCC, Kuala Lumpur",342300.0,3.0,2.0,Condo,"Built-up : 2,195 sq. ft.",Fully Furnished,4
35217,"KL City, Kuala Lumpur",154980.0,1.0,1.0,Condo,Built-up : 775 sq. ft.,Fully Furnished,1
35219,"KLCC, Kuala Lumpur",630.0,1.0,1.0,Residence,Built-up : 640 sq. ft.,Fully Furnished,1
35221,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",83790.0,2.0,1.0,Residence,Built-up : 852 sq. ft.,Partly Furnished,3
35222,"Bukit Jalil, Kuala Lumpur",312900.0,5.0,2.0,Terrace/Link,Land area : 22x70 sq. ft.,Unfurnished,5
35224,"Jalan Ipoh, Kuala Lumpur",378000.0,5.0,2.0,Others,Land area : 3056 sq. ft.,Partly Furnished,6
35225,"Taman Desa, Kuala Lumpur",111300.0,2.0,2.0,Condo,"Built-up : 1,210 sq. ft.",Partly Furnished,4
35229,"KLCC, Kuala Lumpur",325710.0,3.0,1.0,Condo,"Built-up : 1,551 sq. ft.",Fully Furnished,3
35232,"Kepong, Kuala Lumpur",86730.0,2.0,2.0,Condo,Built-up : 901 sq. ft.,Unfurnished,3
35236,"KLCC, Kuala Lumpur",243600.0,2.0,1.0,Residence,Built-up : 897 sq. ft.,Fully Furnished,3
35237,"KLCC, Kuala Lumpur",233478.0,1.0,1.0,Residence,Built-up : 654 sq. ft.,Fully Furnished,2
35239,"Brickfields, Kuala Lumpur",172200.0,2.0,1.0,Residence,Built-up : 875 sq. ft.,Fully Furnished,2
35240,"Bangsar South, Kuala Lumpur",231000.0,2.0,2.0,Condo,"Built-up : 1,260 sq. ft.",Partly Furnished,3
35241,"Cheras, Kuala Lumpur",111906.48,2.0,2.0,Condo,Built-up : 840 sq. ft.,Unfurnished,2
35242,"Bukit Jalil, Kuala Lumpur",153300.0,2.0,2.0,Residence,Built-up : 971 sq. ft.,Unfurnished,3
35243,"Bangsar South, Kuala Lumpur",342300.0,3.0,2.0,Condo,"Built-up : 2,068 sq. ft.",Fully Furnished,3
35246,"Cheras, Kuala Lumpur",100548.0,2.0,1.0,Condo,Built-up : 850 sq. ft.,Partly Furnished,3
35247,"KLCC, Kuala Lumpur",208530.0,1.0,1.0,Residence,Built-up : 662 sq. ft.,Fully Furnished,2
35249,"Setapak, Kuala Lumpur",62580.0,2.0,1.0,Duplex,Built-up : 815 sq. ft.,Unfurnished,3
35250,"Setapak, Kuala Lumpur",63000.0,2.0,1.0,Condo,Built-up : 800 sq. ft.,Unfurnished,3
35254,"Setapak, Kuala Lumpur",156639.0,3.0,2.0,Condo,"Built-up : 1,447 sq. ft.",Fully Furnished,4
35256,"Cheras, Kuala Lumpur",68880.0,2.0,1.0,Condo,Built-up : 970 sq. ft.,Fully Furnished,2
35259,"KL Sentral, Kuala Lumpur",304500.0,2.0,1.0,Residence,"Built-up : 1,087 sq. ft.",Fully Furnished,2
35261,"KLCC, Kuala Lumpur",346500.0,4.0,3.0,Residence,"Built-up : 1,600 sq. ft.",Partly Furnished,4
35262,"Ampang, Kuala Lumpur",105000.0,1.0,1.0,Residence,Built-up : 705 sq. ft.,Fully Furnished,1
35263,"Cheras, Kuala Lumpur",91980.0,2.0,1.0,Residence,Built-up : 719 sq. ft.,Partly Furnished,2
35264,"Cheras, Kuala Lumpur",108780.0,2.0,1.0,Residence,Built-up : 920 sq. ft.,Fully Furnished,3
35265,"Cheras, Kuala Lumpur",117600.0,2.0,1.0,Residence,Built-up : 920 sq. ft.,Fully Furnished,3
35267,"Cheras, Kuala Lumpur",91980.0,2.0,1.0,Residence,Built-up : 719 sq. ft.,Partly Furnished,2
35268,"Cheras, Kuala Lumpur",69300.0,2.0,1.0,Condo,"Built-up : 1,100 sq. ft.",Partly Furnished,3
35274,"Kuchai Lama, Kuala Lumpur",99750.0,2.0,2.0,Residence,Built-up : 935 sq. ft.,Fully Furnished,3
35276,"Mont Kiara, Kuala Lumpur",413700.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,5
35277,"Mont Kiara, Kuala Lumpur",331800.0,3.0,1.0,Condo,"Built-up : 1,496 sq. ft.",Partly Furnished,3
35279,"Dutamas, Kuala Lumpur",117390.0,2.0,1.0,Condo,"Built-up : 1,450 sq. ft.",Fully Furnished,3
35281,"Bukit Jalil, Kuala Lumpur",272999.79,5.0,3.0,Terrace/Link,"Built-up : 3,010 sq. ft.",Unfurnished,6
35282,"Taman Desa, Kuala Lumpur",115499.79,2.0,1.0,Residence,Built-up : 715 sq. ft.,Partly Furnished,2
35301,"Bukit Jalil, Kuala Lumpur",132090.0,1.0,1.0,Residence,Land area : 0 sq. ft.,Fully Furnished,2
35302,"Bukit Jalil, Kuala Lumpur",189000.0,2.0,2.0,Residence,Land area : 0 sq. ft.,Partly Furnished,3
35304,"Jalan Kuching, Kuala Lumpur",96600.0,2.0,1.0,Condo,"Built-up : 1,100 sq. ft.",Partly Furnished,3
35305,"Jalan Ipoh, Kuala Lumpur",151326.0,2.0,2.0,Condo,"Built-up : 1,196 sq. ft.",Partly Furnished,3
35306,"Cheras, Kuala Lumpur",141456.0,2.0,2.0,Condo,"Built-up : 1,195 sq. ft.",Unfurnished,4
35307,"Bukit Jalil, Kuala Lumpur",123900.0,2.0,2.0,Condo,"Built-up : 1,100 sq. ft.",Unfurnished,3
35308,"Wangsa Maju, Kuala Lumpur",325500.0,4.0,3.0,Condo,"Built-up : 3,600 sq. ft.",Partly Furnished,6
35310,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",126000.0,2.0,2.0,Residence,"Built-up : 1,270 sq. ft.",Partly Furnished,2
35311,"Bangsar South, Kuala Lumpur",130200.0,1.0,1.0,Residence,Built-up : 638 sq. ft.,Partly Furnished,1
35312,"KLCC, Kuala Lumpur",240030.0,2.0,1.0,Residence,Built-up : 818 sq. ft.,Fully Furnished,3
35313,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",147000.0,2.0,1.0,Residence,"Built-up : 1,399 sq. ft.",Partly Furnished,2
35314,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",144900.0,2.0,1.0,Residence,"Built-up : 1,399 sq. ft.",Partly Furnished,2
35320,"Sentul, Kuala Lumpur",111300.0,2.0,2.0,Condo,"Built-up : 1,230 sq. ft.",Fully Furnished,3
35321,"Brickfields, Kuala Lumpur",107100.0,2.0,1.0,Duplex,Land area : 900 sq. ft.,Fully Furnished,3
35323,"Brickfields, Kuala Lumpur",138600.0,2.0,1.0,Condo,Land area : 1100 sq. ft.,Fully Furnished,3
35324,"Brickfields, Kuala Lumpur",138600.0,3.0,1.0,Duplex,Land area : 1560 sq. ft.,Fully Furnished,5
35326,"Brickfields, Kuala Lumpur",75600.0,1.0,1.0,Duplex,Land area : 760 sq. ft.,Partly Furnished,2
35327,"Brickfields, Kuala Lumpur",89250.0,2.0,1.0,Duplex,Land area : 1100 sq. ft.,Partly Furnished,3
35328,"Cheras, Kuala Lumpur",75600.0,2.0,1.0,Condo,"Built-up : 1,079 sq. ft.",Unfurnished,3
35329,"Taman Tun Dr Ismail, Kuala Lumpur",1218000.0,7.0,5.0,Bungalow,Land area : 7319 sq. ft.,Partly Furnished,7
35330,"Taman Tun Dr Ismail, Kuala Lumpur",304500.0,4.0,2.0,Terrace/Link,Land area : 500 sq. ft.,Partly Furnished,7
35332,"Kuchai Lama, Kuala Lumpur",69300.0,2.0,1.0,Condo,Built-up : 941 sq. ft.,Partly Furnished,3
35334,"Kepong, Kuala Lumpur",109200.0,2.0,1.0,Condo,Built-up : 980 sq. ft.,Partly Furnished,3
35336,"Dutamas, Kuala Lumpur",247800.0,4.0,2.0,Condo,"Built-up : 1,970 sq. ft.",Fully Furnished,5
35337,"Dutamas, Kuala Lumpur",357000.0,6.0,3.0,Condo,"Built-up : 3,980 sq. ft.",Fully Furnished,6
35338,"Dutamas, Kuala Lumpur",346500.0,4.0,4.0,Condo,"Built-up : 5,823 sq. ft.",Partly Furnished,4
35339,"Dutamas, Kuala Lumpur",163800.0,3.0,2.0,Condo,"Built-up : 1,356 sq. ft.",Partly Furnished,4
35340,"Sri Hartamas, Kuala Lumpur",147000.0,2.0,2.0,Condo,"Built-up : 1,280 sq. ft.",Partly Furnished,3
35341,"KLCC, Kuala Lumpur",367500.0,4.0,2.0,Condo,"Built-up : 2,410 sq. ft.",Fully Furnished,4
35344,"City Centre, Kuala Lumpur",262500.0,3.0,1.0,Condo,"Built-up : 1,389 sq. ft.",Partly Furnished,2
35345,"Kepong, Kuala Lumpur",93450.0,2.0,1.0,Condo,"Built-up : 1,150 sq. ft.",Partly Furnished,3
35346,"Cheras, Kuala Lumpur",258300.0,3.0,2.0,Terrace/Link,Land area : 22x100 sq. ft.,Partly Furnished,4
35350,"KL City, Kuala Lumpur",98700.0,2.0,2.0,Condo,"Built-up : 1,065 sq. ft.",Unfurnished,4
35352,"Setapak, Kuala Lumpur",79800.0,2.0,2.0,Condo,Built-up : 950 sq. ft.,Unfurnished,4
35353,"Mont Kiara, Kuala Lumpur",252000.0,2.0,1.0,Residence,"Built-up : 1,029 sq. ft.",Fully Furnished,2
35356,"Segambut, Kuala Lumpur",83790.0,2.0,1.0,Duplex,"Built-up : 1,006 sq. ft.",Fully Furnished,3
35357,"Desa Pandan, Kuala Lumpur",226800.0,2.0,2.0,Residence,"Built-up : 1,410 sq. ft.",Partly Furnished,3
35358,"Cheras, Kuala Lumpur",168000.0,3.0,2.0,Terrace/Link,Land area : 22x80 sq. ft.,Unfurnished,4
35359,"Bukit Kiara, Kuala Lumpur",938095.62,5.0,2.0,Terrace/Link,Land area : 20x85 sq. ft.,Partly Furnished,5
35360,"Setapak, Kuala Lumpur",102900.0,2.0,1.0,Condo,"Built-up : 1,075 sq. ft.",Fully Furnished,3
35361,"Bandar Damai Perdana, Kuala Lumpur",279300.0,4.0,2.0,Terrace/Link,Land area : 4165 sq. ft.,Partly Furnished,5
35362,"Taman Melawati, Kuala Lumpur",451500.0,3.0,2.0,Others,Land area : 4600 sq. ft.,Partly Furnished,5
35363,"Seputeh, Kuala Lumpur",493500.0,4.0,2.0,Condo,"Built-up : 3,000 sq. ft.",Fully Furnished,5
35364,"Damansara Heights, Kuala Lumpur",682500.0,5.0,4.0,Condo,"Built-up : 5,000 sq. ft.",Partly Furnished,6
35365,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",79800.0,2.0,1.0,Condo,Built-up : 980 sq. ft.,Partly Furnished,3
35366,"KLCC, Kuala Lumpur",88200.0,2.0,1.0,Condo,Built-up : 695 sq. ft.,Unfurnished,2
35367,"Mont Kiara, Kuala Lumpur",123900.0,2.0,2.0,Condo,Built-up : 940 sq. ft.,Unfurnished,3
35368,"Cheras, Kuala Lumpur",144900.0,2.0,2.0,Condo,"Built-up : 1,093 sq. ft.",Fully Furnished,3
35369,"Damansara Heights, Kuala Lumpur",1050000.0,6.0,2.0,Residence,"Built-up : 2,960 sq. ft.",Partly Furnished,5
35370,"Titiwangsa, Kuala Lumpur",123480.0,2.0,1.0,Residence,Built-up : 850 sq. ft.,Unfurnished,2
35371,"Kepong, Kuala Lumpur",478800.0,6.0,2.0,Terrace/Link,Land area : 22x80 sq. ft.,Partly Furnished,7
35373,"Ampang, Kuala Lumpur",273000.0,3.0,2.0,Residence,"Built-up : 1,570 sq. ft.",Fully Furnished,4
35374,"Cheras, Kuala Lumpur",163800.0,3.0,3.0,Residence,"Built-up : 1,483 sq. ft.",Partly Furnished,4
35375,"KL City, Kuala Lumpur",89250.0,1.0,1.0,Residence,Built-up : 466 sq. ft.,Fully Furnished,1
35376,"Ampang Hilir, Kuala Lumpur",123480.0,1.0,1.0,Residence,Built-up : 608 sq. ft.,Fully Furnished,1
35377,"Setapak, Kuala Lumpur",114450.0,2.0,2.0,Condo,"Built-up : 1,450 sq. ft.",Partly Furnished,3
35378,"Bandar Damai Perdana, Kuala Lumpur",138180.0,3.0,2.0,Terrace/Link,Land area : 20x65 sq. ft.,Unfurnished,5
35379,"Cheras, Kuala Lumpur",79800.0,2.0,1.0,Condo,Built-up : 936 sq. ft.,Partly Furnished,3
35380,"Mont Kiara, Kuala Lumpur",136500.0,2.0,1.0,Condo,"Built-up : 1,048 sq. ft.",Fully Furnished,2
35381,"Setapak, Kuala Lumpur",79800.0,2.0,1.0,Condo,Land area : Wilayah Persekutuan sq. ft.,Partly Furnished,3
35382,"Cheras, Kuala Lumpur",94500.0,2.0,1.0,Condo,Built-up : 904 sq. ft.,Fully Furnished,3
35384,"Ampang, Kuala Lumpur",336000.0,4.0,2.0,Others,"Built-up : 2,500 sq. ft.",Unfurnished,5
35386,"Setapak, Kuala Lumpur",49350.0,2.0,1.0,Condo,Built-up : 832 sq. ft.,Partly Furnished,3
35387,"KLCC, Kuala Lumpur",942900.0,4.0,2.0,Condo,"Built-up : 2,250 sq. ft.",Partly Furnished,4
35389,"KLCC, Kuala Lumpur",1365000.0,4.0,2.0,Condo,"Built-up : 3,756 sq. ft.",Fully Furnished,5
35391,"KLCC, Kuala Lumpur",823200.0,4.0,2.0,Condo,"Built-up : 3,285 sq. ft.",Fully Furnished,4
35392,"KL City, Kuala Lumpur",315000.0,2.0,1.0,Residence,Built-up : 895 sq. ft.,Partly Furnished,2
35393,"KL City, Kuala Lumpur",252000.0,1.0,1.0,Residence,Built-up : 717 sq. ft.,Partly Furnished,2
35394,"KL City, Kuala Lumpur",210000.0,1.0,1.0,Residence,Built-up : 625 sq. ft.,Partly Furnished,2
35395,"Bukit Bintang, Kuala Lumpur",178500.0,2.0,1.0,Residence,Built-up : 689 sq. ft.,Fully Furnished,2
35396,"KLCC, Kuala Lumpur",185850.0,1.0,1.0,Residence,Built-up : 473 sq. ft.,Fully Furnished,1
35400,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",142800.0,2.0,2.0,Condo,Built-up : 935 sq. ft.,Partly Furnished,4
35401,"Sungai Besi, Kuala Lumpur",220500.0,4.0,2.0,Terrace/Link,Land area : 20x75 sq. ft.,Partly Furnished,5
35403,"Kepong, Kuala Lumpur",151200.0,2.0,2.0,Residence,"Built-up : 1,292 sq. ft.",Fully Furnished,4
35404,"Sungai Besi, Kuala Lumpur",132300.0,2.0,2.0,Residence,Land area : 1775 sq. ft.,Partly Furnished,3
35405,"Sungai Besi, Kuala Lumpur",100800.0,1.0,1.0,Residence,Built-up : 750 sq. ft.,Partly Furnished,1
35406,"KLCC, Kuala Lumpur",651000.0,2.0,2.0,Residence,"Built-up : 1,572 sq. ft.",Partly Furnished,2
35407,"Bukit Jalil, Kuala Lumpur",189000.0,3.0,3.0,Condo,"Built-up : 1,513 sq. ft.",Partly Furnished,5
35408,"Bukit Jalil, Kuala Lumpur",222600.0,3.0,4.0,Condo,"Built-up : 1,772 sq. ft.",Partly Furnished,5
35414,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",126000.0,2.0,2.0,Residence,Built-up : 852 sq. ft.,Partly Furnished,2
35416,"Dutamas, Kuala Lumpur",126000.0,2.0,1.0,Condo,"Built-up : 1,100 sq. ft.",Fully Furnished,3
35418,"Sri Hartamas, Kuala Lumpur",210000.0,2.0,1.0,Residence,"Built-up : 1,230 sq. ft.",Partly Furnished,3
35420,"Mont Kiara, Kuala Lumpur",147000.0,2.0,1.0,Residence,"Built-up : 1,141 sq. ft.",Fully Furnished,3
35422,"KL City, Kuala Lumpur",161070.0,3.0,2.0,Residence,"Built-up : 1,407 sq. ft.",Partly Furnished,4
35426,"Mont Kiara, Kuala Lumpur",283500.0,4.0,2.0,Condo,"Built-up : 2,885 sq. ft.",Partly Furnished,4
35430,"Bangsar South, Kuala Lumpur",189000.0,2.0,1.0,Residence,"Built-up : 1,032 sq. ft.",Fully Furnished,2
35431,"Bukit Jalil, Kuala Lumpur",134400.0,3.0,2.0,Condo,"Built-up : 1,404 sq. ft.",Partly Furnished,2
35432,"Bukit Jalil, Kuala Lumpur",121800.0,2.0,2.0,Condo,"Built-up : 1,032 sq. ft.",Partly Furnished,2
35433,"Bukit Jalil, Kuala Lumpur",125580.0,2.0,2.0,Condo,"Built-up : 1,232 sq. ft.",Unfurnished,3
35436,"Taman Desa, Kuala Lumpur",58800.0,2.0,1.0,Duplex,Built-up : 930 sq. ft.,Unfurnished,3
35437,"Taman Desa, Kuala Lumpur",55650.0,2.0,1.0,Duplex,Built-up : 830 sq. ft.,Unfurnished,3
35439,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",73500.0,2.0,2.0,Residence,Built-up : 950 sq. ft.,Partly Furnished,3
35440,"Bangsar, Kuala Lumpur",1863897.0,5.0,2.0,Condo,"Built-up : 5,221 sq. ft.",Partly Furnished,5
35443,"Bangsar, Kuala Lumpur",138600.0,1.0,1.0,Condo,Built-up : 725 sq. ft.,Partly Furnished,1
35444,"Bangsar, Kuala Lumpur",157500.0,1.0,1.0,Condo,"Built-up : 1,011 sq. ft.",Partly Furnished,2
35448,"KLCC, Kuala Lumpur",1694700.0,2.0,4.0,Residence,"Built-up : 2,960 sq. ft.",Partly Furnished,4
35449,"KLCC, Kuala Lumpur",1257900.0,2.0,3.0,Residence,"Built-up : 2,605 sq. ft.",Partly Furnished,3
35450,"KLCC, Kuala Lumpur",819000.0,2.0,2.0,Residence,"Built-up : 1,636 sq. ft.",Partly Furnished,2
35452,"Bangsar, Kuala Lumpur",1470000.0,4.0,3.0,Condo,"Built-up : 4,025 sq. ft.",Partly Furnished,4
35453,"KL Eco City, Kuala Lumpur",241290.0,1.0,1.0,Condo,Built-up : 797 sq. ft.,Fully Furnished,2
35455,"Mont Kiara, Kuala Lumpur",399000.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,5
35458,"Bangsar, Kuala Lumpur",1449000.0,5.0,4.0,Others,Land area : 4500 sq. ft.,Partly Furnished,6
35463,"Damansara Heights, Kuala Lumpur",1008000.0,7.0,4.0,Others,Land area : 5000 sq. ft.,Partly Furnished,7
35464,"Ampang Hilir, Kuala Lumpur",1050000.0,3.0,2.0,Condo,"Built-up : 3,500 sq. ft.",Partly Furnished,4
35465,"Ampang Hilir, Kuala Lumpur",903000.0,3.0,2.0,Condo,"Built-up : 3,500 sq. ft.",Partly Furnished,4
35466,"Ampang Hilir, Kuala Lumpur",1470000.0,3.0,4.0,Condo,"Built-up : 6,500 sq. ft.",Partly Furnished,4
35467,"KLCC, Kuala Lumpur",722400.0,1.0,1.0,Residence,"Built-up : 1,432 sq. ft.",Partly Furnished,2
35468,"KLCC, Kuala Lumpur",569100.0,1.0,1.0,Residence,"Built-up : 1,023 sq. ft.",Partly Furnished,1
35469,"Damansara Heights, Kuala Lumpur",3150000.0,6.0,4.0,Bungalow,Land area : 7500 sq. ft.,Partly Furnished,6
35472,"Bangsar, Kuala Lumpur",1921132.5,5.0,3.0,Condo,"Built-up : 4,945 sq. ft.",Partly Furnished,5
35473,"Bangsar, Kuala Lumpur",1661520.0,5.0,3.0,Condo,"Built-up : 4,945 sq. ft.",Partly Furnished,5
35476,"Bangsar, Kuala Lumpur",1848000.0,6.0,4.0,Condo,"Built-up : 5,200 sq. ft.",Partly Furnished,5
35477,"Mont Kiara, Kuala Lumpur",535500.0,5.0,3.0,Condo,"Built-up : 2,906 sq. ft.",Partly Furnished,5
35478,"Bangsar, Kuala Lumpur",882000.0,4.0,3.0,Condo,"Built-up : 3,024 sq. ft.",Partly Furnished,5
35480,"Bangsar, Kuala Lumpur",1995724.5,6.0,3.0,Condo,"Built-up : 5,137 sq. ft.",Partly Furnished,5
35484,"Bangsar, Kuala Lumpur",982800.0,5.0,3.0,Condo,"Built-up : 3,600 sq. ft.",Partly Furnished,4
35485,"Bangsar, Kuala Lumpur",882000.0,4.0,2.0,Condo,"Built-up : 3,282 sq. ft.",Fully Furnished,4
35486,"Bangsar, Kuala Lumpur",2539425.0,6.0,4.0,Condo,"Built-up : 6,910 sq. ft.",Partly Furnished,6
35487,"Damansara Heights, Kuala Lumpur",766500.0,6.0,4.0,Condo,"Built-up : 5,046 sq. ft.",Partly Furnished,6
35488,"Bangsar, Kuala Lumpur",2540527.5,6.0,6.0,Condo,"Built-up : 6,913 sq. ft.",Partly Furnished,6
35504,"Mont Kiara, Kuala Lumpur",535500.0,5.0,1.0,Condo,"Built-up : 2,906 sq. ft.",Partly Furnished,5
35505,"Sentul, Kuala Lumpur",90300.0,2.0,2.0,Condo,"Built-up : 1,071 sq. ft.",Partly Furnished,3
35506,"Kepong, Kuala Lumpur",417480.0,5.0,3.0,Terrace/Link,Land area : 24 x 143sf sq. ft.,Partly Furnished,6
35507,"Setapak, Kuala Lumpur",105000.0,2.0,2.0,Residence,"Built-up : 1,260 sq. ft.",Unfurnished,3
35508,"Setapak, Kuala Lumpur",94500.0,8.0,2.0,Residence,"Built-up : 1,009 sq. ft.",Partly Furnished,5
35509,"Setapak, Kuala Lumpur",111300.0,2.0,2.0,Residence,"Built-up : 1,260 sq. ft.",Partly Furnished,3
35510,"Setapak, Kuala Lumpur",82950.0,2.0,1.0,Residence,Built-up : 900 sq. ft.,Unfurnished,2
35520,"Damansara, Kuala Lumpur",199290.0,3.0,3.0,Terrace/Link,Land area : 22x75 sq. ft.,Partly Furnished,4
35521,"Kepong, Kuala Lumpur",138600.0,3.0,2.0,Terrace/Link,Land area : 880 sq. ft.,Partly Furnished,3
35522,"Kepong, Kuala Lumpur",384300.0,6.0,3.0,Others,Land area : 34x75 sq. ft.,Unfurnished,6
35523,"Kepong, Kuala Lumpur",409500.0,5.0,3.0,Others,Land area : 35 x75 sq. ft.,Partly Furnished,6
35524,"Kepong, Kuala Lumpur",258300.0,3.0,2.0,Terrace/Link,Land area : 34x70 sq. ft.,Partly Furnished,5
35525,"Kepong, Kuala Lumpur",136500.0,3.0,2.0,Terrace/Link,Land area : 14 x 100 sq. ft.,Partly Furnished,3
35527,"Cheras, Kuala Lumpur",174300.0,4.0,3.0,Terrace/Link,Land area : 1540 sq. ft.,Partly Furnished,4
35529,"Bukit Jalil, Kuala Lumpur",205170.0,2.0,2.0,Condo,Land area : 1420 sq. ft.,Partly Furnished,4
35531,"Bukit Jalil, Kuala Lumpur",121800.0,2.0,2.0,Condo,"Built-up : 1,422 sq. ft.",Fully Furnished,4
35532,"Bukit Jalil, Kuala Lumpur",264600.0,2.0,2.0,Condo,Land area : 1506 sq. ft.,Fully Furnished,4
35544,"Bukit Jalil, Kuala Lumpur",67200.0,2.0,1.0,Duplex,Built-up : 950 sq. ft.,Partly Furnished,3
35563,"Damansara Heights, Kuala Lumpur",682500.0,5.0,4.0,Condo,"Built-up : 5,000 sq. ft.",Partly Furnished,5
35574,"Bangsar, Kuala Lumpur",1008000.0,5.0,5.0,Condo,"Built-up : 5,700 sq. ft.",Partly Furnished,5
35594,"Bukit Tunku (Kenny Hills), Kuala Lumpur",3150000.0,7.0,6.0,Bungalow,Land area : 19700 sq. ft.,Partly Furnished,7
35596,"Damansara Heights, Kuala Lumpur",2520000.0,5.0,4.0,Bungalow,Land area : 9500 sq. ft.,Partly Furnished,5
35607,"Damansara Heights, Kuala Lumpur",2121000.0,5.0,3.0,Bungalow,Land area : 4000 sq. ft.,Partly Furnished,5
35623,"Setapak, Kuala Lumpur",111300.0,2.0,2.0,Condo,"Built-up : 1,383 sq. ft.",Partly Furnished,4
35624,"Setapak, Kuala Lumpur",109830.0,2.0,2.0,Condo,"Built-up : 1,438 sq. ft.",Unfurnished,4
35625,"Setapak, Kuala Lumpur",113400.0,2.0,2.0,Condo,"Built-up : 1,313 sq. ft.",Partly Furnished,4
35627,"Sungai Besi, Kuala Lumpur",73500.0,3.0,2.0,Residence,Built-up : 800 sq. ft.,Fully Furnished,3
35628,"Sungai Besi, Kuala Lumpur",73500.0,3.0,2.0,Residence,Built-up : 850 sq. ft.,Fully Furnished,3
35629,"Mont Kiara, Kuala Lumpur",177450.0,3.0,1.0,Residence,Land area : 1428 sq. ft.,Fully Furnished,4
35630,"Pandan Perdana, Kuala Lumpur",57750.0,1.0,1.0,Condo,Built-up : 450 sq. ft.,Partly Furnished,1
35634,"Pandan Perdana, Kuala Lumpur",57750.0,1.0,1.0,Condo,Built-up : 450 sq. ft.,Partly Furnished,1
35637,"Cheras, Kuala Lumpur",236250.0,2.0,2.0,Residence,"Built-up : 1,125 sq. ft.",Partly Furnished,3
35638,"Cheras, Kuala Lumpur",257250.0,3.0,2.0,Residence,"Built-up : 1,225 sq. ft.",Partly Furnished,3
35639,"Dutamas, Kuala Lumpur",1026480.0,5.0,5.0,Condo,"Built-up : 4,719 sq. ft.",Partly Furnished,5
35640,"Sentul, Kuala Lumpur",105000.0,2.0,1.0,Residence,Built-up : 948 sq. ft.,Unfurnished,3
35643,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",188580.0,4.0,2.0,Condo,"Built-up : 1,663 sq. ft.",Fully Furnished,4
35645,"Wangsa Maju, Kuala Lumpur",142800.0,3.0,2.0,Terrace/Link,Land area : 1080 sq. ft.,Fully Furnished,4
35646,"Wangsa Maju, Kuala Lumpur",147000.0,2.0,2.0,Condo,"Built-up : 1,152 sq. ft.",Unfurnished,3
35647,"Wangsa Maju, Kuala Lumpur",175350.0,2.0,2.0,Condo,"Built-up : 1,335 sq. ft.",Unfurnished,4
35649,"Wangsa Maju, Kuala Lumpur",158550.0,2.0,2.0,Condo,"Built-up : 1,152 sq. ft.",Unfurnished,3
35650,"Bukit Bintang, Kuala Lumpur",272664.0,2.0,1.0,Residence,"Built-up : 1,033 sq. ft.",Fully Furnished,2
35651,"Cheras, Kuala Lumpur",483000.0,4.0,2.0,Others,Land area : 40x100 sq. ft.,Partly Furnished,5
35652,"Cheras, Kuala Lumpur",118608.0,2.0,2.0,Condo,"Built-up : 1,000 sq. ft.",Partly Furnished,4
35653,"Cheras, Kuala Lumpur",106218.0,2.0,2.0,Condo,Built-up : 850 sq. ft.,Partly Furnished,3
35654,"Cheras, Kuala Lumpur",777000.0,5.0,5.0,Others,Land area : 3777 sq. ft.,Partly Furnished,6
35657,"Mont Kiara, Kuala Lumpur",472500.0,5.0,2.0,Condo,"Built-up : 2,498 sq. ft.",Partly Furnished,4
35658,"Mont Kiara, Kuala Lumpur",289800.0,3.0,2.0,Condo,"Built-up : 1,733 sq. ft.",Partly Furnished,4
35659,"Mont Kiara, Kuala Lumpur",189000.0,2.0,1.0,Condo,"Built-up : 1,400 sq. ft.",Fully Furnished,3
35660,"Kuchai Lama, Kuala Lumpur",1260000.0,8.0,6.0,Bungalow,Land area : 7417 sq. ft.,Partly Furnished,8
